Timestamp,Container,CPU_%,Mem_Usage,NPU_Temp,EPC_Util,Epsilon,Accuracy,Loss
2026-03-23 09:29:48,sovereign-tpm-metrics,2.50%,40.54MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,57.78%,509.2MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,59.56%,542.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,49.13%,557.4MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,58.47%,568.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,54.80%,562.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,59.47%,535.5MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,52.79%,521.8MiB / 11.49GiB
sovereign-grafana,0.11%,140.2MiB / 11.49GiB
sovereign-backend,60.49%,922.4MiB / 11.49GiB
sovereign-alertmanager,0.82%,33.52MiB / 11.49GiB
sovereign-prometheus,0.32%,71.84MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.00%,23.22MiB / 11.49GiB
sovereign-fl-performance,0.01%,23.65MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
2026-03-23 09:30:06,sovereign-tpm-metrics,2.48%,40.52MiB / 11.49GiB
sovereign-tokenomics-metrics,0.34%,29.63MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,51.59%,529.9MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,57.33%,560.3MiB / 11.49GiB
sovereign-frontend,0.00%,16.05MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-4,57.17%,542.1MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-7,54.69%,525.7MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3,57.09%,515.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-8,58.08%,527.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-6,57.85%,538.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-9,47.52%,563MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-3-1,54.21%,566.4MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-1,49.92%,581MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-5,61.28%,517.6MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-10,47.97%,510.2MiB / 11.49GiB
sovereign-grafana,0.07%,140.2MiB / 11.49GiB
sovereign-backend,60.38%,838.4MiB / 11.49GiB
sovereign-alertmanager,0.19%,33.52MiB / 11.49GiB
sovereign-prometheus,0.27%,72.43MiB / 11.49GiB
sovereign_map_federated_learning-auto-tuner-1,0.00%,23.22MiB / 11.49GiB
sovereign-fl-performance,0.01%,23.65MiB / 11.49GiB,91.54C,48%,0.35,99.50%,0.1000
2026-03-23 09:30:11,sovereign-tpm-metrics,5.71%,40.38MiB / 11.49GiB
sovereign-tokenomics-metrics,0.18%,29.34MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2,60.46%,521.3MiB / 11.49GiB
sovereign_map_federated_learning-node-agent-2-1,57.59%,572.1MiB / 11.49GiB
sovereign-frontend,0.00%,16.02MiB / 11.49GiB
